Date,pred,P/L
20200117,-1.2760146838433506,224.0
20200120,-2.520950824017169,284.0
20200121,70.0614742285783,299.0
20200122,-2.768707830103893,297.0
20200123,23.986252909377495,322.0
20200124,23.125569742106972,332.0
20200127,24.93601985244304,-45.0
20200128,31.410103686474006,-225.0
20200129,95.42726015673692,-31.0
20200130,25.140434378062174,77.0
20200131,25.09128553140036,191.0
20200203,46.5745146093963,452.0
20200204,-1.9901761676398948,340.0
20200205,8.877895634083727,95.0
20200206,46.23982899852271,-195.0
20200207,8.085161151635765,25.0
20200210,9.760376962394307,-180.0
20200212,-6.486514685714958,-185.0
20200213,0.6751926877558483,-40.0
20200214,15.709127749118878,755.0
20200217,7.563218678846939,607.0
20200218,84.50366665428106,559.0
20200219,35.620146225888824,539.0
20200220,95.05697409643295,666.0
20200221,81.19949911854489,499.0
20200225,66.05603470479595,80.0
20200226,-47.546872122162725,380.0
20200227,-3.713045139578714,610.0
20200228,-88.33918953602411,180.0
20200302,-21.01397020657365,-385.0
20200303,-18.500950020503943,-40.0
20200310,-18.838512446471125,1130.0
20200311,0.7100795818330674,570.0
20200312,4.7526313398400095,861.17
20200319,15.893972893245143,290.0
20200325,34.518776792420994,130.0
20200326,40.305819049063444,-475.0
20200327,48.255883634836145,-290.0
20200331,7.645677324237074,15.0
20200408,-23.991825376066792,-146.31
20200410,30.140019826285595,-330.0
20200413,33.31109437629441,-275.0
20200414,-58.48833226739801,-50.0
20200416,23.272085836204326,-275.0
20200417,3.745628988341089,-380.0
20200420,-1.7108269682734218,105.0
20200421,-39.367120712421425,-246.0
20200422,-43.58603771594876,-186.31
20200428,2.4360558937446726,-160.0
20200501,-16.876867181885842,-80.0
20200507,-30.86593758074485,65.0
20200508,-32.822959459909846,-105.0
20200511,27.90830857736755,-120.0
20200512,25.83000193368314,-140.0
20200513,-41.703898747181825,-105.0
20200514,37.83357885657979,-155.0
20200515,-19.758582900421217,-135.0
20200518,-19.758582900421217,-75.0
20200519,-27.652459838927605,130.0
20200520,-18.280342137674815,115.0
20200521,-40.440657581168445,130.0
20200522,-60.65789087619005,240.0
20200525,-53.03202409507649,265.0
20200526,-20.22843006209445,485.0
20200527,1.3279953054609668,215.0
20200528,36.64893478930129,185.0
20200529,36.90381574911144,220.0
20200601,37.08800799491978,280.0
20200602,43.33585174908056,265.0
20200608,17.122184352318754,360.0
20200609,59.952631945810424,425.0
20200610,71.91831469761928,380.0
20200611,12.062589472515228,492.6
20200612,-19.15661870224541,-250.0
20200615,-25.49823321969202,-187.4
20200616,-0.8626137894940298,125.0
20200617,78.760167582938,-415.0
20200619,37.93035035946754,-310.0
20200622,33.871335009372885,-385.0
20200624,5.53674873327744,-290.0
20200625,15.284811821527704,-445.0
20200626,34.180252085890636,-357.0
20200629,-16.663532739144966,-392.0
20200630,3.565140703407282,-367.0
20200703,-1.1406470663684463,-85.0
20200706,-1.8881278691449774,-70.0
20200707,-4.508633170276685,-120.0
20200708,16.976137130129644,-105.0
20200709,-22.943526821002294,-120.0
20200710,-11.995323620656489,-210.0
20200713,7.847317883419393,-220.0
20200714,-24.25743518952003,-225.0
20200715,6.205486096808398,-265.0
20200716,-13.248545399145808,-325.0
20200717,0.20202950720798896,-265.0
20200720,-25.792371490589012,-230.0
20200721,2.5811778671925447,188.0
20200722,-4.991253337178064,208.0
20200727,12.715230051448525,-83.0
20200728,-11.424626752367192,110.0
20200729,3.3380794850691062,22.0
20200730,-2.501029451229333,62.0
20200731,-26.26350221114828,-83.0
20200803,56.07840010023678,60.0
20200805,-32.41666578422705,115.0
20200811,-12.54834043226002,230.0
20200812,-7.847399323121618,105.0
20200813,96.1393650984563,-130.0
20200814,93.53219668616804,-100.0
20200817,98.81530666232912,-135.0
20200818,116.22989150973875,-145.0
20200819,88.67360695486147,-120.0
20200820,141.7328974597649,-110.0
20200821,115.94137714500206,-80.0
20200824,115.94137714500206,-130.0
20200825,101.45062485988475,-190.0
20200826,69.69845439281923,-95.0
20200827,98.35399425082583,-130.0
20200828,69.12788618447458,-235.0
20200831,58.960158399692936,-260.0
20200901,84.45779246418131,-270.0
20200903,88.7234559283342,20.0
20200904,116.02945636088477,-330.0
20200907,115.83008734271642,-280.0
20200908,68.99461130924898,-270.0
20200909,82.02446342571665,-260.0
20200910,21.246566686535544,-240.0
20200911,-9.150840282974183,-255.0
20200914,37.64887301860838,-105.0
20200915,47.33514848117137,-105.0
20200916,25.877677393884184,-195.0
20200917,49.84291416843427,-230.0
20200918,48.87142800297528,-260.0
20200923,94.17741447858641,-220.0
20200924,38.59329555377981,-170.0
20200925,50.05502049202625,-225.0
20200929,2.6005842000822184,-275.0
20201001,36.51761141569632,-160.0
20201005,24.435213695313642,-310.0
20201007,56.43917543433018,-235.0
20201008,-2.0797143733263166,-200.0
20201009,-1.745246550720729,-180.0
20201012,13.256779621794298,-85.0
20201013,-1.5492375678962684,-35.0
20201014,-1.5492375678962684,5.0
20201015,35.292316487610506,-35.0
20201016,45.6940226759581,-90.0
20201019,59.13826376386633,-100.0
20201020,25.24115569490336,-50.0
20201021,25.82117007573335,50.0
20201022,25.82117007573335,95.0
20201023,-1.4645428251271786,-20.0
20201026,25.138624801370835,25.0
20201027,24.842461582335453,-7.0
20201028,24.842461582335453,116.0
20201029,24.646842043574825,97.0
20201030,49.26238995865164,175.0
20201102,53.72284646759019,90.0
20201109,-2.6986973033820725,40.0
20201111,-2.861554395609889,135.0
20201112,-2.861554395609889,95.0
20201113,-3.1337032897091746,205.0
20201116,-2.836818776684254,360.0
20201117,22.68858825821452,-40.0
20201118,-2.7527984786295625,25.0
20201119,-2.452959388545838,390.0
20201120,-1.4764323803342858,430.0
20201124,16.77235091496867,150.0
20201125,11.48936672055589,-220.0
20201126,-1.7661445675625826,100.0
20201127,-1.7661445675625826,-320.0
20201130,-1.9567366983366856,-219.0
20201201,11.407374621318247,-330.0
20201204,11.564969160875766,-230.0
20201208,64.41846151039597,-110.0
20201209,24.99047570757244,-175.0
20201210,24.859695227172033,-270.0
20201211,24.859695227172033,-260.0
20201214,24.674389715010562,-180.0
20201215,-2.330729036750587,-175.0
20201216,-2.330729036750587,-205.0
20201217,23.692138451162066,-210.0
20201218,24.303663758782726,-200.0
20201221,-2.7377684347437725,-10.0
20201222,24.138302312064365,322.0
20201223,24.292173544060912,163.0
20201224,23.935927637104065,228.0
20201225,23.935927637104065,223.0
20201230,-3.0999845668261026,70.0
20210107,-3.1284175896734085,213.77
20210108,-3.1284175896734085,265.0
20210112,5.611701762515866,155.0
20210113,3.198725935117369,105.0
20210114,-3.3040183212270087,-235.0
20210115,-3.3040183212270087,85.0
20210118,-3.2996292406081924,-45.0
20210119,83.13923188390655,-290.0
20210120,80.26442726622012,-105.0
20210121,-3.1131917046790427,-65.0
20210122,18.995086804914763,50.0
20210125,0.17510292210641154,110.0
20210126,23.78404335365893,145.0
20210127,23.131106490857146,135.0
20210128,46.346560198920116,-195.0
20210201,26.255704459612893,-40.0
20210203,19.473928787155117,210.0
20210204,-4.385278436283324,250.0
20210205,-4.397657767606363,280.0
20210208,-4.31332169196791,20.0
20210210,-4.407085198012852,225.0
20210212,-4.411224058505536,120.0
20210215,-4.510814988800248,130.0
20210216,-4.537064386534949,-310.0
20210217,-4.66362754849926,130.0
20210218,-4.5581800628702105,130.0
20210219,-4.451127943957664,-160.0
20210222,-4.403178701562819,240.0
20210224,22.471940828816958,-90.0
20210226,20.86104730751374,-13.0
20210301,22.935900843987707,-195.0
20210302,22.935900843987707,168.0
20210303,22.912683836917086,275.0
20210304,22.854415815173223,-265.0
20210305,23.1329233858634,-275.0
20210309,23.1329233858634,-150.0
20210310,23.664704218262095,-80.0
20210311,24.304482814382396,45.0
20210312,3.094352562703386,10.0
20210315,-1.9364835319037887,-30.0
20210316,4.963622715309319,476.0
20210317,-1.5965679545671838,406.95
20210318,-0.8319063194136491,220.0
20210319,-0.5566660625094609,182.95
20210322,26.410813645873702,375.0
20210323,26.56755941401933,225.0
20210324,26.243267330849196,-20.0
20210325,24.422675808291775,35.0
20210326,26.247363488184476,-47.0
20210329,26.070257709668233,-125.0
20210330,25.86479655132709,77.0
20210401,-1.0103232716518846,105.0
20210402,-1.2267681194071267,-40.0
20210406,-1.4541543619221655,-71.78
20210407,-1.6752208778517588,-320.0
20210408,-1.6752208778517588,-270.0
20210409,-1.9186537783069975,-190.0
20210412,25.387014724020926,50.0
20210413,24.73082778570003,325.0
20210414,24.56294269051909,425.0
20210415,24.368388075641125,375.0
20210416,24.41832633494423,465.0
20210419,24.286612358281456,475.0
20210420,24.135045023776158,110.0
20210421,23.919211892702847,-106.78
20210422,23.963807048889887,-220.0
20210423,23.741238818204767,-380.0
20210426,23.854440213032625,-291.0
20210427,23.897116168133177,-350.0
20210428,-2.7806982717730238,-360.0
20210430,-2.6850674217140287,530.0
20210506,25.063036600842665,540.0
20210510,-2.499390020825755,575.0
20210511,-2.283042166405968,75.0
20210512,24.48653644627086,330.0
20210513,24.50074154711698,-235.0
20210514,24.75168481008356,-40.0
20210517,24.789001138806345,-230.0
20210518,22.160764437514274,-110.0
20210519,24.74643097274707,-425.0
20210520,16.59839910053757,-60.0
20210521,23.07759519562825,-105.0
20210524,25.020840525096666,-10.0
20210525,-1.7824017830267909,-155.0
20210526,-1.9714644065945768,40.0
20210527,-1.9782815504316942,-130.0
20210528,-2.0204908100440546,-215.0
20210531,-2.26610779519027,-300.0
20210601,-2.3670066561648024,-385.0
20210602,-2.2308861529945148,-225.0
20210607,-2.3562744326644536,-325.0
20210608,24.518845237369003,-290.0
20210609,-2.2135753845520965,-195.0
20210610,25.22399505825284,84.87
20210611,-1.5505115815563553,355.0
20210614,25.009679858286006,285.0
20210615,-1.7548616944016273,639.0
20210616,-1.5904325624521176,619.0
20210617,-1.5919424764905548,225.0
20210618,-1.6725677755507955,345.0
20210621,25.002058335430686,-150.0
20210622,24.998610871063505,-60.0
20210623,24.798302356458063,-315.0
20210624,15.38336914138891,-285.0
20210625,12.907027191836157,-80.0
20210628,-1.2301421077481411,-61.0
20210629,-1.005023467017383,158.0
20210701,73.48281368381964,108.15
20210702,11.372679258275872,290.0
20210705,26.192930934098516,330.0
20210707,30.958496915540174,130.0
20210709,11.382709161390562,80.0
20210712,26.108978661229308,20.0
20210713,25.984274655711246,175.0
20210714,-0.9094581212559703,315.0
20210715,-0.8453270679478496,65.0
20210716,-0.911983248868617,80.0
20210719,25.62793480642758,-305.0
20210720,25.389845301968457,-25.0
20210721,25.651175069304227,-310.0
20210726,25.067320167631216,-170.0
20210728,25.12643653421035,-390.0
20210729,-1.159627932909804,-355.0
20210730,25.711224784346726,-331.0
20210802,18.9619238759551,-166.0
20210803,19.515427115370183,-65.0
20210805,11.31715857084802,-40.0
20210806,28.427210935907084,-255.0
20210810,-26.32500518641641,-130.0
20210811,-23.891271616781765,-80.0
20210812,1.94910301674784,-105.0
20210813,-15.073778032786532,-30.0
20210816,22.816674256470844,5.0
20210817,10.867642961411153,-210.0
20210818,58.15766769461411,-165.0
20210819,25.872720631454357,-175.0
20210820,31.65673641981175,-30.0
20210823,-34.51993639970902,45.0
20210824,27.458030841240827,99.0
20210825,21.190763586309924,132.0
20210826,-39.038295004686674,150.0
20210827,10.747756918992232,229.0
20210830,11.286509762294237,145.0
20210831,13.125489921922302,335.0
20210902,21.931135101680855,475.0
20210906,62.46890065968989,20.0
20210907,10.791951196345519,-115.0
20210908,23.747107027174128,-50.0
20210909,11.06085984311429,-80.0
20210910,15.973599617219918,-185.0
20210913,22.964780959625294,70.0
20210914,22.964780959625294,56.61
20210915,35.045027426294126,255.0
20210916,-23.196218282070973,211.61
20210917,25.01896490908792,265.0
20210921,22.01844064003988,-300.0
20210922,23.820867292463916,-210.0
20210924,38.851828053801185,25.0
20210927,15.998796624965095,255.0
20210928,19.64064699274622,75.0
20210929,32.73238684052818,28.47
20211004,29.929989279236178,420.0
20211005,2.475183057812597,-410.0
20211006,44.10051939429361,-295.0
20211008,10.456602023948085,40.0
20211011,34.43859030964459,110.0
20211012,33.12189146236106,-130.0
20211013,30.180485585052534,150.0
20211014,20.88332983013798,65.0
20211015,28.993970513445717,-50.0
20211018,14.33593381078142,-145.0
20211019,18.76931793804536,-75.0
20211020,5.871160820439031,-5.0
20211022,27.58587063672304,140.0
20211025,8.120811412007342,65.0
20211026,14.618982146494027,-11.53
20211027,4.95313958643562,167.0
20211028,36.80097390785335,43.47
20211029,-4.051007065611729,120.0
20211101,48.03059752507601,-35.0
20211104,-11.829482374482424,55.0
20211108,10.796152961132508,25.0
20211109,-7.226865229927615,0.0
20211110,21.320816226796182,15.0
20211111,66.04870249880133,60.0
20211112,19.236115856686133,-80.0
20211115,-8.423484794618009,-245.0
20211116,-22.14019632938957,-205.0
20211117,-3.7065287295054254,143.0
20211118,-8.769608684044593,430.0
20211119,-7.185120685385157,403.0
20211122,43.648028772350486,443.0
20211124,5.300109311333033,513.0
20211125,-9.229937584090443,515.0
20211126,-9.281124295188128,295.0
20211129,6.14516831301138,-125.0
20211130,-5.174906535091946,205.0
20211206,13.518071413710224,47.17
20211208,7.979515227633067,-310.0
20211210,-6.563289996070884,-185.0
20211213,-3.432392307463708,-70.0
20211214,9.03248095101527,-150.0
20211215,101.13692149290341,-65.0
20211216,34.234070561378644,315.0
20211217,8.871354409948378,345.0
20211220,12.314940833283517,-120.0
20211221,8.783085509368451,-125.0
20211222,13.176796038113325,-305.0
20211223,-36.00350940177472,-220.0
20211227,10.635688297383137,-22.83
20211228,-5.645034261078646,-255.0
20211229,-0.7798594719882566,173.0
20211230,31.465564108974327,-420.0
20220112,-1.483582260494813,95.0
20220114,4.484151091652704,110.0
20220117,36.05222805391301,125.0
20220118,3.7466775795734586,205.0
20220119,-3.3845580490978895,15.0
20220121,2.2270709495384335,-220.0
20220124,-8.182630796878039,-165.0
20220125,-10.513722269595274,-15.0
20220126,16.212822222389093,-155.0
20220127,5.04737876040744,-5.0
20220128,4.010105790993546,35.6
20220131,13.010025765730163,47.0
20220209,8.149822323216515,95.0
20220210,-0.6380092461809088,260.0
20220214,3.1512612423825903,30.0
20220215,3.1136310279321635,-50.0
20220216,6.219672150944923,110.0
20220217,17.421803429834924,25.0
20220218,17.463047782975387,210.0
20220221,4.570827116412011,-165.0
20220222,5.045130652501033,-435.0
20220224,3.4143817691661043,-75.0
20220225,-5.025511276386426,35.0
20220228,-0.37858617136638006,381.0
20220301,1.540589040245926,588.0
20220308,10.655436582232813,-110.0
20220311,6.811258428157917,20.0
20220315,4.287158647507798,255.0
20220316,1.365545827911819,178.61
20220318,16.22804157912016,160.0
20220322,5.035978222355127,125.0
20220324,5.2090228927229525,-10.0
20220325,12.238679480259112,-335.0
20220331,18.719920420085685,-75.0
20220406,3.7450805517917716,165.0
20220407,3.7752880954477233,-235.0
20220408,16.70537158484709,-113.76
20220411,23.09054289509691,-300.0
20220414,-2.6486862823383293,-210.0
20220415,-4.716208066766299,-5.0
20220418,-7.689478031619566,-150.0
20220420,-6.1093930347657315,100.0
20220421,-7.962845437970514,115.0
20220422,14.665206579186146,105.0
20220425,25.78299399221347,-375.0
20220426,23.36825459046851,-390.0
20220427,6.335101996314272,-30.0
20220506,18.207293805042877,160.0
20220509,-9.64867152628145,155.0
20220511,14.5838021840165,-120.0
20220512,-6.8475963161745765,-55.0
20220513,2.844681018256917,65.0
20220516,2.626444979917852,-295.0
20220517,3.5722537068155007,-235.0
20220520,-7.08496268996108,40.0
20220523,8.755008303888246,-325.0
20220524,8.438808959942826,-320.0
20220525,9.531687045670086,-145.0
20220527,-5.9333023767108575,74.0
20220530,3.124444601867318,39.0
20220531,-7.56505599920891,85.0
20220606,2.790357838308899,120.0
20220607,2.369277616285907,210.0
